City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,flekkefjord,58.2971,6.6607,276.45,90,64,3.07,NO,1706647360
242,bayanhongor,46.7167,100.1167,247.06,79,1,1.72,MN,1706647361
243,kyabe,9.4515,18.9449,300.82,17,0,2.42,TD,1706647361
244,lockport,41.5895,-88.0578,278.66,86,100,3.09,US,1706647361
245,badiyah,22.45,58.8,293.89,86,100,2.53,OM,1706647361
246,kamaishi,39.2667,141.8833,275.74,75,32,2.31,JP,1706647361
247,bei'an,24.5399,109.533,285.67,98,100,0.27,CN,1706647361
248,mount gambier,-37.8333,140.7667,287.01,79,7,1.95,AU,1706647362
249,sandnessjoen,66.0217,12.6316,277.44,81,75,14.92,NO,1706647362
250,okha,53.5739,142.9478,252.98,93,64,6.28,RU,1706647362
251,palikir - national government center,6.9248,158.1611,299.56,74,40,3.09,FM,1706647362
252,haapsalu,58.9431,23.5414,274.25,92,100,3.61,EE,1706647362
253,hasaki,35.7333,140.8333,276.37,67,68,0.45,JP,1706647363
254,isafjordur,66.0755,-23.124,270.0,84,100,5.58,IS,1706647363
255,holualoa,19.6228,-155.9522,297.35,86,100,4.12,US,1706647363
256,abra pampa,-22.7205,-65.697,289.72,45,70,6.78,AR,1706647363
257,kenora,49.8167,-94.4337,273.69,93,100,6.17,CA,1706647363
258,nova sintra,14.8667,-24.7167,294.31,66,0,5.38,CV,1706647363
259,castillos,-34.1667,-53.8333,297.06,52,1,4.63,UY,1706647364
260,ola,59.5833,151.2833,246.56,89,24,3.53,RU,1706647364
261,viamao,-30.0811,-51.0233,303.18,55,20,3.6,BR,1706647364
262,sao tome,0.3365,6.7273,300.85,81,99,1.84,ST,1706647364
263,enoch,37.7733,-113.0244,286.75,58,0,0.45,US,1706647364
264,pacific grove,36.6177,-121.9166,291.14,86,0,5.36,US,1706647260
265,notodden,59.5594,9.2585,265.58,95,41,1.79,NO,1706647218
266,caleta de carquin,-11.0925,-77.6267,298.87,75,87,5.13,PE,1706647365
267,kerkdriel,51.7714,5.3372,280.5,73,100,3.39,NL,1706647365
268,st. catharines,43.1668,-79.2496,277.09,77,100,3.6,CA,1706647147
269,marco island,25.9363,-81.7157,296.51,45,0,3.6,US,1706647266
